IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,,,,1,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,1,,,,,,1,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,GUY,Guyana,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,,,,1,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,,,,1,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,,,,1,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,CUB,Cuba,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1084,,,,,,1 084,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,PRT,Portugal,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1103,,,,,,1 103,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,1119,,,,,,1 119,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1139,,,,,,1 139,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,HUN,Hungary,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1153,,,,,,1 153,,,EN,2023-04-20T04:00:00.000Z
